username,komentar,clean_comment,stem_comment,tokens,label
fikrisekumpul,Gue yakin anies sih🔥,gue anies sih,gue anies sih,"['gue', 'anies', 'sih']",netral
dara.3243,"KNP anis yg paling atas bkn kaesang ,ini  Qodari Kang survei lupa naruh Kali ya🤣🤣🤣🤣",knp anis yg bkn kaesang qodari kang survei lupa naruh kali ya,knp anis yg bkn kaesang qodari kang survei lupa naruh kali ya,"['knp', 'anis', 'yg', 'bkn', 'kaesang', 'qodari', 'kang', 'survei', 'lupa', 'naruh', 'kali', 'ya']",netral
gracestedita,ahok sih,ahok sih,ahok sih,"['ahok', 'sih']",netral
hadi_m_syahid,Anis vs Ahok jilid 2 keren nih🔥,anis vs ahok jilid keren nih,anis vs ahok jilid keren nih,"['anis', 'vs', 'ahok', 'jilid', 'keren', 'nih']",netral
adearqam,Tumben g pesenan statistiknya wkwk,tumben g pesenan statistiknya wkwk,tumben g sen statistik wkwk,"['tumben', 'g', 'sen', 'statistik', 'wkwk']",netral
a.sultanfatansyah,Istri jokowi siapa tau tertarik jadi Gubernur...,istri jokowi tau tertarik gubernur,istri jokowi tau tarik gubernur,"['istri', 'jokowi', 'tau', 'tarik', 'gubernur']",netral
elaineellaedreena,Mending Ahok drpd Anies. Tp herannya knp si Anies tinggi begitu??,mending ahok drpd anies tp herannya knp si anies,mending ahok drpd anies tp heran knp si anies,"['mending', 'ahok', 'drpd', 'anies', 'tp', 'heran', 'knp', 'si', 'anies']",netral
kenaricatering,Anis.ahok sdah umur cepat pikun..ganti yg muda biar jkt lebih maju dari IKN...KAESANG,anisahok sdah umur cepat pikunganti yg muda biar jkt maju iknkaesang,anisahok sdah umur cepat pikunganti yg muda biar jkt maju iknkaesang,"['anisahok', 'sdah', 'umur', 'cepat', 'pikunganti', 'yg', 'muda', 'biar', 'jkt', 'maju', 'iknkaesang']",netral
minwirawan,Wah kalau bapak politik identitas menang lagi tuyul ancol muncul lagi dong😂,politik identitas menang tuyul ancol muncul,politik identitas menang tuyul ancol muncul,"['politik', 'identitas', 'menang', 'tuyul', 'ancol', 'muncul']",netral
anjalola1112,Saya pengikut Jokowi bahkan sampai skrg. Tp please deh jgn Kaesang. Tu org gak punya pengalaman jadi petugas pemerintah.. Bapak dan anak blm tentu sama,pengikut jokowi skrg tp please deh jgn kaesang tu org gak pengalaman petugas pemerintah anak blm,ikut jokowi skrg tp please deh jgn kaesang tu org gak alam tugas perintah anak blm,"['ikut', 'jokowi', 'skrg', 'tp', 'please', 'deh', 'jgn', 'kaesang', 'tu', 'org', 'gak', 'alam', 'tugas', 'perintah', 'anak', 'blm']",netral
sutomo3808,"Anis aja biar pendukungnya terhibur ga tantrum lg 😂 ,, lagian kan jakarta bukan daerah istimewa lg",anis aja biar pendukungnya terhibur ga tantrum lg jakarta daerah istimewa lg,anis aja biar dukung hibur ga tantrum lg jakarta daerah istimewa lg,"['anis', 'aja', 'biar', 'dukung', 'hibur', 'ga', 'tantrum', 'lg', 'jakarta', 'daerah', 'istimewa', 'lg']",netral
pecundangbulutangkis12,"Kan klo Gubernur yang menang yang melantik Presiden, kan Presiden terpilih Prabowo yg di hina2 11/100 itu tebel muka apa gimana",klo gubernur menang melantik presiden presiden terpilih prabowo yg hina tebel muka gimana,klo gubernur menang lantik presiden presiden pilih prabowo yg hina tebel muka gimana,"['klo', 'gubernur', 'menang', 'lantik', 'presiden', 'presiden', 'pilih', 'prabowo', 'yg', 'hina', 'tebel', 'muka', 'gimana']",netral
hermanto_jkt,Tinggi Elaktibilitas tapi Rendah Kinerjanya😂,elaktibilitas rendah kinerjanya,elaktibilitas rendah kerja,"['elaktibilitas', 'rendah', 'kerja']",netral
riobelino,Gubernur Jakarta🔥🔥🔥🔥🔥,gubernur jakarta,gubernur jakarta,"['gubernur', 'jakarta']",netral
dot_dush,Capres lain klah pilpres tdk maju pilgub krna harga diri...ini ada capres kok mlah turun kasta nyagub😂😂😂😂😂,capres klah pilpres tdk maju pilgub krna harga diriini capres mlah turun kasta nyagub,capres klah pilpres tdk maju pilgub krna harga diriini capres mlah turun kasta nyagub,"['capres', 'klah', 'pilpres', 'tdk', 'maju', 'pilgub', 'krna', 'harga', 'diriini', 'capres', 'mlah', 'turun', 'kasta', 'nyagub']",netral
fachryfansuri,Udah Paling bener buat Jekardah itu yaa Ahok  🔥🔥,udah bener jekardah yaa ahok,udah bener jekardah yaa ahok,"['udah', 'bener', 'jekardah', 'yaa', 'ahok']",netral
wahyupeewee,"Sampe yg 1% menang sih, ah udah tau lah sudah 😄",sampe yg menang sih ah udah tau,sampe yg menang sih ah udah tau,"['sampe', 'yg', 'menang', 'sih', 'ah', 'udah', 'tau']",netral
dermawan.iwan,Lawan yg paling potensial ya Ahook,lawan yg potensial ya ahook,lawan yg potensial ya ahook,"['lawan', 'yg', 'potensial', 'ya', 'ahook']",netral
820.ruddi,"Kalo di ulang Pilgub Ahok vs Anies...bisa menang Ahok, asal jgn bawa² agama..apalagi ayat dan mayat",kalo ulang pilgub ahok vs aniesbisa menang ahok jgn bawa agamaapalagi ayat mayat,kalo ulang pilgub ahok vs aniesbisa menang ahok jgn bawa agamaapalagi ayat mayat,"['kalo', 'ulang', 'pilgub', 'ahok', 'vs', 'aniesbisa', 'menang', 'ahok', 'jgn', 'bawa', 'agamaapalagi', 'ayat', 'mayat']",netral
aminnur10,Tumben kaesang 1%😂,tumben kaesang,tumben kaesang,"['tumben', 'kaesang']",netral
kaka.aya.reborn28,Kaesang - Aldi Taher boleh d coba,kaesang aldi taher d coba,kaesang aldi taher d coba,"['kaesang', 'aldi', 'taher', 'd', 'coba']",netral
ristiawant14,Kaesang terlalu kepedean😂😂😂😂,kaesang kepedean,kaesang kepedean,"['kaesang', 'kepedean']",netral
andretrendy89,Itu Bocah Persentend nya kecil ya,bocah persentend nya ya,bocah persentend nya ya,"['bocah', 'persentend', 'nya', 'ya']",netral
andy_supriyadiii,Dua kandidat diatas emang keren.. kalo bisa akur pimpin Jakarta.. IKN LEWAAT DAAH..😂😂😂,kandidat diatas emang keren kalo akur pimpin jakarta ikn lewaat daah,kandidat atas emang keren kalo akur pimpin jakarta ikn lewaat daah,"['kandidat', 'atas', 'emang', 'keren', 'kalo', 'akur', 'pimpin', 'jakarta', 'ikn', 'lewaat', 'daah']",netral
mamakeyvan,Ngapain urusin survey jakarta min...?? Kan bukan ibukota lg.. Warganya jg paling tutup mata milih anies... Warganya full rasional... 😂😂😂,ngapain urusin survey jakarta min ibukota lg warganya jg tutup mata milih anies warganya full rasional,ngapain urusin survey jakarta min ibukota lg warga jg tutup mata milih anies warga full rasional,"['ngapain', 'urusin', 'survey', 'jakarta', 'min', 'ibukota', 'lg', 'warga', 'jg', 'tutup', 'mata', 'milih', 'anies', 'warga', 'full', 'rasional']",positif
heri_diedan,urutan no 6 masih aje ada yg milih ngarep BLT lg ya masih kurang makan😂,urutan no aje yg milih ngarep blt lg ya makan,urut no aje yg milih ngarep blt lg ya makan,"['urut', 'no', 'aje', 'yg', 'milih', 'ngarep', 'blt', 'lg', 'ya', 'makan']",netral
annie_anieeeee,Yg 1 % dapet dri mana ya belum pernah kerja 😮😮😮😮,yg dapet dri ya kerja,yg dapet dri ya kerja,"['yg', 'dapet', 'dri', 'ya', 'kerja']",netral
eelvyna,ITU YG 1 PERSEN MILIH SI PISANG MASIH WARAS KAH? 😂😂😂,yg persen milih si pisang waras kah,yg persen milih si pisang waras kah,"['yg', 'persen', 'milih', 'si', 'pisang', 'waras', 'kah']",netral
oki.gunawan,"Si paling gorong-gorong be like, ""Hold my bansos!""",si goronggorong be like hold my bansos,si goronggorong be like hold my bansos,"['si', 'goronggorong', 'be', 'like', 'hold', 'my', 'bansos']",netral
m_rizky_pratama_almahbub,Kaesang ngapain bjir,kaesang ngapain bjir,kaesang ngapain bjir,"['kaesang', 'ngapain', 'bjir']",netral
priyadi.ir.mm,"Kaesang, ketua partai, anak presiden. Hanya 1% ?? Jangan jangan lawan sandal jepit saja kakah ya",kaesang ketua partai anak presiden lawan sandal jepit kakah ya,kaesang ketua partai anak presiden lawan sandal jepit kakah ya,"['kaesang', 'ketua', 'partai', 'anak', 'presiden', 'lawan', 'sandal', 'jepit', 'kakah', 'ya']",netral
kennyjo2_,Buzzer 1% pada muncul 😂,buzzer muncul,buzzer muncul,"['buzzer', 'muncul']",netral
edisaputrapdip333,El classico Anis vs Ahok,el classico anis vs ahok,el classico anis vs ahok,"['el', 'classico', 'anis', 'vs', 'ahok']",netral
yohanes_nikijuluw,Ahok & Anis coba sekali kali😁😁,ahok anis coba kali,ahok anis coba kali,"['ahok', 'anis', 'coba', 'kali']",netral
jonaykh,"kalo versi survey si QODARI, pasti anak Mukidi yg pertama😂",kalo versi survey si qodari anak mukidi yg,kalo versi survey si qodari anak mukidi yg,"['kalo', 'versi', 'survey', 'si', 'qodari', 'anak', 'mukidi', 'yg']",netral
yusuf.budiono,Kaesang kalo dah bagi2 bansos langsung meroket😂😂,kaesang kalo dah bansos langsung meroket,kaesang kalo dah bansos langsung roket,"['kaesang', 'kalo', 'dah', 'bansos', 'langsung', 'roket']",netral
joenopoenya,Ahok sajalah.. dari pada turunan JKW yg plonga plongo,ahok turunan jkw yg plonga plongo,ahok turun jkw yg plonga plongo,"['ahok', 'turun', 'jkw', 'yg', 'plonga', 'plongo']",netral
ferryfhonska,Njir yg paling bawah😂,njir yg,njir yg,"['njir', 'yg']",netral
nico_prasetyo_,Salah total itu surveynya...harusnya kaesang 58%,salah total surveynyaharusnya kaesang,salah total surveynyaharusnya kaesang,"['salah', 'total', 'surveynyaharusnya', 'kaesang']",netral
bintang.1190,Yg milih pisang masi aja ada 1% siapa 😂,yg milih pisang masi aja,yg milih pisang mas aja,"['yg', 'milih', 'pisang', 'mas', 'aja']",netral
tyastyas91,Biasane kalo berita ginian RT 58 baru pada kelihatan,biasane kalo berita ginian rt,biasane kalo berita ginian rt,"['biasane', 'kalo', 'berita', 'ginian', 'rt']",netral
agussryn24,Ini salah nih harusnya Kaesang 110%😂,salah nih kaesang,salah nih kaesang,"['salah', 'nih', 'kaesang']",netral
janisbetmen99,Kokoh!🔥🔥🔥,kokoh,kokoh,['kokoh'],netral
alfredosrg_,Pak BTP🙌,btp,btp,['btp'],netral
rifkyriyadioffcial98,GASS RIDWAN -AHOK 2024 MENANG SATU PUTARAN 🔥🔥,gass ridwan ahok menang putaran,gass ridwan ahok menang putar,"['gass', 'ridwan', 'ahok', 'menang', 'putar']",netral
boygesbadboy,Ahok dong,ahok,ahok,['ahok'],netral
roffly24,lebih mundur lagi demokrasi Indonesia krn buat apa Parpol ada kader dan Anggota lalu malah parpol calonkan bukan kader dan anggotanya artinya buat kader dan anggota sbnrnya diapakan ama parpolnya sendiri? bahwa ternyata kegagalan parpol sendiri tidak bisa menghasilkan Pemimpin. klo begitu nda usah ada paprol ajah kan,mundur demokrasi indonesia krn parpol kader anggota parpol calonkan kader anggotanya kader anggota sbnrnya diapakan ama parpolnya kegagalan parpol menghasilkan pemimpin klo nda paprol ajah,mundur demokrasi indonesia krn parpol kader anggota parpol calon kader anggota kader anggota sbnrnya apa ama parpolnya gagal parpol hasil pimpin klo nda paprol ajah,"['mundur', 'demokrasi', 'indonesia', 'krn', 'parpol', 'kader', 'anggota', 'parpol', 'calon', 'kader', 'anggota', 'kader', 'anggota', 'sbnrnya', 'apa', 'ama', 'parpolnya', 'gagal', 'parpol', 'hasil', 'pimpin', 'klo', 'nda', 'paprol', 'ajah']",netral
bang__agil,Kaesang cocoknya jadi Gubernur VOC 🙌,kaesang cocoknya gubernur voc,kaesang cocok gubernur voc,"['kaesang', 'cocok', 'gubernur', 'voc']",netral
jacobarthur15,"Berandai2 saja inimah, Pak Anies & Pak Ahok, walaupun mustahil tapi bakal keren banget kalo mereka berduet🔥🔥",berandai inimah anies ahok mustahil keren banget kalo berduet,beranda inimah anies ahok mustahil keren banget kalo duet,"['beranda', 'inimah', 'anies', 'ahok', 'mustahil', 'keren', 'banget', 'kalo', 'duet']",netral
tiara_jk,Kok beda sama surveynya Qodari??....,beda surveynya qodari,beda surveynya qodari,"['beda', 'surveynya', 'qodari']",netral
nezaplus,ANAK INGUSAN YANG DISULAP  HANYA 1 PERSEN,anak ingusan disulap persen,anak ingus sulap persen,"['anak', 'ingus', 'sulap', 'persen']",netral
putitinyourheart,Gak aneh klo pak anies tertinggi wong grass roots nya dibawah udah pada bergerak apalagi semenjak kebijakan herbud nyusahin,gak aneh klo anies tertinggi grass roots nya dibawah udah bergerak semenjak kebijakan herbud nyusahin,gak aneh klo anies tinggi grass roots nya bawah udah gerak semenjak bijak herbud nyusahin,"['gak', 'aneh', 'klo', 'anies', 'tinggi', 'grass', 'roots', 'nya', 'bawah', 'udah', 'gerak', 'semenjak', 'bijak', 'herbud', 'nyusahin']",netral
govizar_hermazi,Dharma Pongrekun DKI 1 🔥🌟,dharma pongrekun dki,dharma pongrekun dki,"['dharma', 'pongrekun', 'dki']",netral
ikhwalputra2,"Lho.. Ini benar surveinya?!?, koq si anak ada di bawah?",lho surveinya koq si anak,lho survei koq si anak,"['lho', 'survei', 'koq', 'si', 'anak']",netral
atens13,"Yang bisa dekat dengan semua kalangan, atas bawah ulama tokoh sepertinya yang pas siapa yaa",kalangan ulama tokoh pas yaa,kalang ulama tokoh pas yaa,"['kalang', 'ulama', 'tokoh', 'pas', 'yaa']",netral
rianngh,Yg 1% yang menang 😂😂😂,yg menang,yg menang,"['yg', 'menang']",netral
julian_prahasta,Kabahh siap menggoncang dki 😂😂😂,kabahh menggoncang dki,kabahh menggoncang dki,"['kabahh', 'menggoncang', 'dki']",netral
andhika.ap,Pangarep 😂,pangarep,pangarep,['pangarep'],netral
pa3s2.5,Paling tar lagi Kaesang nyalip 😂,tar kaesang nyalip,tar kaesang nyalip,"['tar', 'kaesang', 'nyalip']",netral
muh.sofwan_hadi,Anak RAJA KONOHA 1%😂😂😂,anak raja konoha,anak raja konoha,"['anak', 'raja', 'konoha']",netral
pantaiselatanloft2,Ada yg milih kaesang?😂😂😂,yg milih kaesang,yg milih kaesang,"['yg', 'milih', 'kaesang']",netral
jowo.guyon_,Kalo ada kaesang pasti diurutan pertama ni,kalo kaesang diurutan ni,kalo kaesang urut ni,"['kalo', 'kaesang', 'urut', 'ni']",netral
yongki4595,Haji Bolot & bang Malih,haji bolot bang malih,haji bolot bang malih,"['haji', 'bolot', 'bang', 'malih']",netral
andry.julius,widihh,widihh,widihh,['widihh'],netral
istikasariae_h3ru,Pokok pilih aja yg bisa nurunin pajak😂. Wkwkwk,pokok pilih aja yg nurunin pajak wkwkwk,pokok pilih aja yg nurunin pajak wkwkwk,"['pokok', 'pilih', 'aja', 'yg', 'nurunin', 'pajak', 'wkwkwk']",netral
riefky.alfarifki,𝙼𝚊𝚗𝚝𝚊𝚏𝚏𝚏 😍,,,[],netral
guchateu,Cukup tau aja😂,tau aja,tau aja,"['tau', 'aja']",netral
asnawi_hutabarat,Kaesang cuma 1% 😭😭,kaesang,kaesang,['kaesang'],netral
achmaderza,Ka seang sih 58%,ka seang sih,ka seang sih,"['ka', 'seang', 'sih']",netral
ruhiyatprayoga,See...,see,see,['see'],netral
riohtapea,Bebas siapa aja. Asal jgn si tukang pisang bangkrut,bebas aja jgn si tukang pisang bangkrut,bebas aja jgn si tukang pisang bangkrut,"['bebas', 'aja', 'jgn', 'si', 'tukang', 'pisang', 'bangkrut']",netral
rhyo88,Anjir 1 persen,anjir persen,anjir persen,"['anjir', 'persen']",netral
haji.toriqqqq,giliran anis diatas pada percaya 😂😂😂,giliran anis diatas percaya,gilir anis atas percaya,"['gilir', 'anis', 'atas', 'percaya']",netral
jeffpapilaya,Seru nih....,seru nih,seru nih,"['seru', 'nih']",netral
toufikbaelah,Siapa ajalah asal jgn kaesang,ajalah jgn kaesang,aja jgn kaesang,"['aja', 'jgn', 'kaesang']",netral
cae.che,kaesang idolaque,kaesang idolaque,kaesang idolaque,"['kaesang', 'idolaque']",netral
jeklin_76,"jika benar Ahok vs Anies nyalon lagi,apakah akan ada lg masa 212 jilid 2,atau 234 macem dji sam soe😂😂",ahok vs anies nyalon lagiapakah lg jilid macem dji sam soe,ahok vs anies nyalon lagiapakah lg jilid macem dji sam soe,"['ahok', 'vs', 'anies', 'nyalon', 'lagiapakah', 'lg', 'jilid', 'macem', 'dji', 'sam', 'soe']",netral
yayo.ism,"Coba survey qodari, kaesang No.1 diikuti anak zulhas..",coba survey qodari kaesang no diikuti anak zulhas,coba survey qodari kaesang no ikut anak zulhas,"['coba', 'survey', 'qodari', 'kaesang', 'no', 'ikut', 'anak', 'zulhas']",netral
ela71mom,Msh aja akun blm mup on bahas Ahok kalah😂😂😂😂😂,msh aja akun blm mup on bahas ahok kalah,msh aja akun blm mup on bahas ahok kalah,"['msh', 'aja', 'akun', 'blm', 'mup', 'on', 'bahas', 'ahok', 'kalah']",netral
lindatokugawa_,Bismillah Abah menang lagi,bismillah abah menang,bismillah abah menang,"['bismillah', 'abah', 'menang']",netral
auliaarezki,Srimul jd cagub? Waaah sprtinya... 😂,srimul jd cagub waaah sprtinya,srimul jd cagub waaah sprtinya,"['srimul', 'jd', 'cagub', 'waaah', 'sprtinya']",netral
radensingawijaya,"Kolaborasi koalisi PDIP,PKB,PKS ,PPPAnies-AhokAA OKE",kolaborasi koalisi pdippkbpks pppaniesahokaa oke,kolaborasi koalisi pdippkbpks pppaniesahokaa oke,"['kolaborasi', 'koalisi', 'pdippkbpks', 'pppaniesahokaa', 'oke']",netral
denny_e_putra,Biarin Ahok lg aja yg mimpin dah,biarin ahok lg aja yg mimpin dah,biarin ahok lg aja yg mimpin dah,"['biarin', 'ahok', 'lg', 'aja', 'yg', 'mimpin', 'dah']",netral
m.rahman1217,Maunya KAESANG,maunya kaesang,mau kaesang,"['mau', 'kaesang']",netral
ruri_personal,DHARMA PONGREKUN 🙌🙌🙌,dharma pongrekun,dharma pongrekun,"['dharma', 'pongrekun']",netral
poik1985,Bukan  mendapat 7% ...tp kenapa ketumnya cuma dapat 1% .....kayanya ada yang salah niih ? 😂,tp ketumnya kayanya salah niih,tp tum kaya salah niih,"['tp', 'tum', 'kaya', 'salah', 'niih']",netral
effanzulfiqar,Lho bukan Kaesang yg katanya sangking tingginya elektabiitas sampai bingung milih ikut Pilkada di Jakarta apa Jateng,lho kaesang yg sangking tingginya elektabiitas bingung milih pilkada jakarta jateng,lho kaesang yg sangking tinggi elektabiitas bingung milih pilkada jakarta jateng,"['lho', 'kaesang', 'yg', 'sangking', 'tinggi', 'elektabiitas', 'bingung', 'milih', 'pilkada', 'jakarta', 'jateng']",netral
arsyah_007,Kalo gw mendingan RK aja krn dia jelas ahli tata kota handal dan gak sering bikin gaduh.,kalo gw mendingan rk aja krn ahli tata kota handal gak bikin gaduh,kalo gw mending rk aja krn ahli tata kota handal gak bikin gaduh,"['kalo', 'gw', 'mending', 'rk', 'aja', 'krn', 'ahli', 'tata', 'kota', 'handal', 'gak', 'bikin', 'gaduh']",netral
jovie_rjp,Numpang tanya yg milih heru siapa ya?? 😢,numpang yg milih heru ya,numpang yg milih heru ya,"['numpang', 'yg', 'milih', 'heru', 'ya']",netral
wiga_dp,Heru ada yg milih? Ga mungkin. Pasti paksaan,heru yg milih ga paksaan,heru yg milih ga paksa,"['heru', 'yg', 'milih', 'ga', 'paksa']",netral
krriiss28,Dalam darah anies baswedan mengalir darah p.demokrasi indonesia perjuangan sejati🐂🔥🤭,darah anies baswedan mengalir darah pdemokrasi indonesia perjuangan sejati,darah anies baswedan alir darah pdemokrasi indonesia juang sejati,"['darah', 'anies', 'baswedan', 'alir', 'darah', 'pdemokrasi', 'indonesia', 'juang', 'sejati']",netral
naff_eko,Dan anies b tidak membayar survey manapun,anies b membayar survey manapun,anies b bayar survey mana,"['anies', 'b', 'bayar', 'survey', 'mana']",netral
