Author,Comment,Published
@uty42,"tidak harus membaca tapi perlu memahami, bukan dapat menghitung tapi bisa mengaplikasikan hitungan, fix main hp pak, 🤣🤣🤣🤣🤣",2024-12-13T05:02:40Z
@donpia7151,"Om bahas tentang pertanggung jawaban negara ( yg diwakili pejabat ) kepada rakyat dong,<br>siapa yg bertanggung jawab jika rakyat masih lapar",2024-12-13T02:03:43Z
@IbnurizkiPeratama,BG makasih ilmunya ga ad di sekolah gue😊 makasih bagi ilmu BG yang bermanfat,2024-12-13T00:33:50Z
@IbnurizkiPeratama,Pasti yang nonton orang pintar,2024-12-13T00:31:04Z
@IbnurizkiPeratama,Pasti yang nonton orang pintar,2024-12-13T00:28:36Z
@apasih6302,"woi la jaman gua dulu buat lulus smk aja banyak ujiannya<br>ujian sekolah,ujian praktek,ujian kompetensi, ujian nasional 4 ujian loh<br>tiba2 ada kurikulum merdeka yang isinya anak2 beginian, anak smk/sma jaman sekarang suruh adu itung2an dasar sama gua yang baru lulus SD juga menang gua kali",2024-12-12T14:55:32Z
@yaryantyable,"Terimakasih Kak Ferri, sejak mengikuti chanel Kakak, fikiran saya jadi lebih terbuka dengan isu-isu penting disekitar kita... <br>Semoga Kak Ferri selalu sehat wal afiat dan terus berkarya... amin 🤲",2024-12-11T12:24:21Z
@melodyghoulscream4394,"Ya Allah, masa sekarang di JAKARTA anak smp sma ada yang nggak bisa baca? Umur gw 28 tahun, dan tinggal di desa kecil deket kaki gunung. Tapi gw busa baca dari umur gw 3 tahun. Umur 4 tahun udah lancar baca, dan dasar perhitungan. Sampe2 gw bosen di TK dan maksa mama buat masukin gw langsung ke SD aja.<br><br>Untung aja adik2 gw yang sekarang SMA sama baru maduk kuliah gw ajarin baca, tulis, sama dasar perhitungan dari kecil.",2024-12-11T11:22:58Z
@kapitan0zero,"Terlalu merdeka, hingga tidak belajar pun bisa naik kelas. kalau dulu harus berusaha maksimal. karena semua ada tes atau ujiannya. harus segera berbenah, karena ini masa depan bangsa.",2024-12-11T05:38:19Z
@parizasu8572,Cukup tahu membaca mengira...selebihnye jadi penyanyi dangdut . Gelek2 goyang ya udah boleh jadi kaya raya..jadi konten kreator  cari salahnye orang sana orang sini compare negara orang  sana negara orang sini..ya udh kaya raya  aje,2024-12-11T02:25:18Z
@kristantimarikaningrum4283,"Semua ini karena dampak pandemi Kak, bayangin aja mereka g sekolah selama 3 tahun loh. Do rumah aja, yang pas sekolah SMP di rumah aja. Begitu masuk udah SMA. Banyak momen yang seharusnya mereka dapat ilmu itu mereka g dapat waktu pandemi ya.",2024-12-10T22:59:02Z
@andisiregar927,MUi bertanggung jawab tuh produk2 garam ruqyah ada logo hallal ny bisa besar nih mslh ny ad logo hallal ingat suatu barang atau produk dr hasil pembodohan itu haram,2024-12-10T18:31:37Z
@andisiregar927,Beberapa Anak bermasalah masuk k sekolah unggulan akhir nya you now lah 😅😅 karna nila setitik rusak sebelanga,2024-12-10T18:13:36Z
@870Leon,"Akhirnya ada yg bicara.<br><br>Kebiasaan PEJABAT INDO itu sok2an mencontoh system dari negara-negara maju tpi LUPA fasilitasnya tidak sama dengan negara-negara yg di contoh.<br>Klau mau mencontoh kebijakan negara-negara MAJU itu CONTOH dari dasarnya seperti berapa fasilitas yg bisa mendukung trus berapa banyak PEJABAT KORUP nya.<br>Klau bisa mencontoh dari dasar itu, mau bikin kebijakan seperti JEPANG pun akan dengan mudah terealisasi.",2024-12-10T14:55:23Z
@chandhuraxs1559,DARI JAMAN DULU INDONESIA NIH UDH DI BEGOIN SOAL PENDIDIKAN CUMA RAKYAT BARU PADA SADAR SKARANG,2024-12-10T06:22:56Z
@septianhadinata5715,"&quot;yang penting sekolah&quot; gkda TUJUAN? gak papa boss,,, toh &quot;YANG PENTING SEKOLAH&quot; kokk!!! 🤔",2024-12-10T05:19:31Z
@azrifarifa8378,Sistem zonasi  sy sngat membenci nya... Aneh bgt pendidikan di negri ini ya Alloh...bikin tepok jidat🤦‍♀️🤦‍♀️,2024-12-10T04:50:12Z
@novelsweet3914,Ngeri ya pendidikan sekarang di era sekarang khususnya era si koplak Jokowi pemilihan menterinya kacau. Masih mending jaman dulu lulus SD kebanyakan sudah pada pintar baca tulisan sebagian juga pintar sejarah.,2024-12-10T04:37:01Z
@inayafauziah3313,"setujuuuuu.... zonasi itu sangat tidak berdampak baik ,, dan kurikulum yang dibuat nadim itu malah membuat anak jd bodoh sangat tidak mendidik dan mencerminkan anak cerdas.. tolong kembalikan kurikulum yg dulu.. apalagi pelajaran pmp atw ppkn yg sangat membantu anak bisa memahami apa itu adab...",2024-12-10T03:33:17Z
@rickyfirmansyah8191,Bang ferry ajak gua kerja donk,2024-12-09T16:35:45Z
@GedeAjusSetiawan,"Menteri yang baru sama kocaknya bang<a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a>",2024-12-09T15:03:34Z
@dulkaris8224,"@ferry irwandi,<br>Kenapa ini bisa terjadi,?<br>Karena guru2nya cuma niatnya kerja cari duit, bukan niat mengajar mengajari,,<br><br>Bagi guru seperti ini yang penting tiap bulan gajian, gajian kurang demo,<br><br>Muridnya pinter apa tidak ga penting",2024-12-09T12:00:30Z
@panda_pan883,"terlalu berkiblat ke negara eropa tp ga sadar kita masih blm mampu, knp ga coba berkiblat ke india, india itu sama persis dengan Indonesia blm merata tp setidaknya mereka berhasil bikin warga nya melek teknologi nah kita knp g belajar dr mereka aja",2024-12-09T10:51:54Z
@titisfitria1834,"Dan sekarang itu g usah masuk sekolah pun bisa naik kelas. Ini kejadian di kelas anak saya, ada satu siswa g pernah masuk sklh tp ketika pembagian pip ortu dan anak masuk setelah itu kaga masuk. Tp naik kelas krn apa? Krn jika g dinaikkan kelas maka diknas menyalahkan sekolahan. Padahal pihak sekolahan sdh berusaha menghubungi orng tua tp orng tua cuek bebek",2024-12-09T08:32:13Z
@andikahidayat1336,Sengaja di bodohkan biar gampang di bodohin,2024-12-09T03:29:17Z
@prinnyx8095,Lempar2 tanggung jawab<br>Gaji gede tambah korupsi<br>Kerja 0<br>Haiyaaah<br>Guru kencing berdiri murid kencing berlari,2024-12-09T00:38:55Z
@FazaFiziFuzo,Semoga dtnton dan dianalisis oleh mentri pendk yg skrg,2024-12-08T14:14:00Z
@MaknatTv,"Aku pikir kau vocalist feast./hindia,tone suara hampir sama",2024-12-08T08:01:44Z
@rimanri4861,"Aneh nya di luar negeri kalo nggak naik kelas tuh hal biasa, sementara dikita kalo nggak naik tuh kayak sebuah aib",2024-12-08T06:23:03Z
@searching1142,"Gw sebagai manusia yg merasa &quot;mampu&quot; untuk menjadi manusia seperti lu tapi males- mau mengapresiasi semua yg udah lu lakukan. Semua tenaga dan pikiran yg udah lu curahkan untuk sesama terutama dalam konteks ini Indonesia. Terima kasih.<br><br>Good luck untuk semua yg sedang dan akan lu rencanakan ke depan, semoga apapun itu yg lu harapkan dan inginkan dapat berhasil baik.",2024-12-08T04:02:53Z
@dhifarizkyana8494,"Dan sistem zonasi ini bagai pisau bermata 2.. bayangkan saja dikota saya sendiri,ada sma negeri nomer 1 di kota saya.. yg dulu saja klo pengen masuk ni SMA harus minimal pinter.. saingannya jg calon siswa di kota2 lain skitar yg pengen masuk ni SMA.. semenjak ada zonasi ini.. bayangkan ada siswa yg (Amit sewu) GUOBLOK BANGET bisa masuk ini SMA unggulan cm gara2 rumahnya deket banget ma ni sekolah..  lebih tepatnya  belakang skolahnya.. dan juga imbasnya kos2an disekitar ni skolah pada mati.. temen saya punya kos2an yg dlu rame diisi siswa dr kota lain bahkan sekarang 1 pun gak ada penghuninya.. mlh jadi kos2an mgkrak.. dan jg si GURU pasti jg mersakan dampaknya.. byangkan yg dlu diisi siswa pintar (minimal dijelaskan 1 kali paham) ini diisi siswa random kompetensi.. SANGAT MIRIS PENDIDIKAN DI INDONESIAKU..🤦🤦",2024-12-08T01:05:45Z
@eierblack7192,Sepertinya setiap peraturan yg dibuat pemerintah kemaren tanpa melalui riset dl <br>Semuanya serba dadakan. Makanya hasilnya ga ada yg bnr..,2024-12-08T00:56:27Z
@MosesDeRosal,"Nyontek itu harusnya bertahap, jangan langsung kiblat ke Finlandia ga kuat lah😂",2024-12-07T09:20:01Z
@dantejambul1334,"Kocak nih menteri amit2, gmn bs orang paham konsep klo baca ajah gak gemar, gmn mau mengaplikasikan klo konsep dasar gak mampu?kembalikan pendidikan ke model dl please pak presiden.. Kami sebagai orangtua khawatir masa depan anak2 kami, biarlah anak2 introspeksi diri belajar lagi kalau memang belum wkt nya, biarlah di hajar habis oleh guru2 drpd tidak berdaya menghadapi masadepan",2024-12-07T05:16:19Z
@dantejambul1334,"Iyaaa anak gw kelas 3 perkalian masih dihitung pake tangan ajah udh khawatir gemes bgt itu anak gw sekolah di SD IT (tidak mksd menyepelekan sekolah negeri) harusnya ada perhatian lebih dr sekolah, bisa ajah gw tinggal masukin kumon sanggup bayar?insyaAllah sanggup, tp gw lebih milih dia berjuang sendiri hapalin perkalian pembagian pertambahan perkurangan paling gak smpe 10, klo bs dlm wkt 3-4 bulan gw kasih reward 500rb, krn itu yg gw terima di pendidikan jaman awal 90an kelas 3 itu hrsnya udah bs hapal pertambahan pengurangan perkalian pembagian smpe 10, saat ini masih berjalan, mudah2an anak gw bs.. Jaman sekarang justru harus lebih keras dr anak2 thn 90an krn godaan makin banyak..",2024-12-07T05:09:40Z
@J0314915,"Saya tinggal di Norwegia, dan pendidikan ala scandinavia itu ga bagus sama sekali untuk ditiru. karena membuat anak itu malas. anak di ajarkan untuk ngerti sendiri tentang belajar, lah anak2 sih pengenya main, mana ada yang sudah sadar pentingnya belajar. sistem pendidikan harus mengajarkan anak punya tanggung jawab. setuju, ngga semua anak itu pintar atau berbakat di matematika, tapi semua anak itu wajib rajin dan punya tanggung jawab.",2024-12-06T19:01:58Z
@redeyes-j8c,istilah &quot;merdeka&quot; agak laen 🫤,2024-12-06T11:59:12Z
@arson536,"Dan menterinya msh tetap, tidak mengundurkan diri, tidak malu atau bahkan bunuh diri 😂😂. Inilah indonesia dmn menteri yg gagal bknnya di copot malah di biarin 😂😂.",2024-12-06T09:09:01Z
@fudufidi,Saya guru SMP dan bener banget anak SMP jaman skrg masih ada yg blm bisa membaca bahkan tulis nama saja sering salah. Apalagi berhitung 🥲 kualitas pendidikan Indonesia sangat menurun kian tahunnya. Sedih nya...,2024-12-06T08:00:13Z
@endangbudi6269,Pemimpon ijazah palsi.......inilh akbt revolusi.mental,2024-12-06T03:43:26Z
@juniarkadja5215,"Sistem literasi dan numerasi yang menjadi harapan menjadi pemahaman dasar bagi siswa sendiri tidak banyak siswa yang mampu melakukannya (dari siswa2 sekolah saya) Yang dilakukan siswa saat disuruh membaca mereka hanya membaca tanpa memahami makna apa yang dibaca mereka. Lalu menghitung, di tempat saya ada banyak siswa yang masih sulit menerapkan materi perhitungan yang mereka pelajari di kehidupan nyata. Apalagi siswa2 di Indonesia hampir seluruh siswanya kaum rebahan atau pemalas, termasuk saya sih heheheh",2024-12-06T02:36:21Z
@Suwitro,"Bang ferry tolong bahas tentang gus miftah, <br>Bagaimana seseorang mendapat gelar gus, kompetensinya di oemertintahan, mulutnya yg kasar",2024-12-05T23:25:19Z
@Pemancingtu,Pemerintah nya terlalu untuk berpikir dengan sistem sedang kan rakyat nya belum siap dari berbagai aspek mendikbud dia lupa bahwa dia adalah hasil kurikulum jaman soerhato yg membuat cara berpikir dia sekarang,2024-12-05T23:08:59Z
@xtkj-hendi3167,Sejak saya melihat video ini sangat berbeda yang saya hadapi sangat lah berbeda yang Abang katakan hmmm atau saya mungkin yang gak paham atau gimana saya di sekolah di Singkawang sekolah disana ketat banget malah kurikulum merdeka  dengan tugas yang bisa di bilang agak susan misal nya pergi ke tempat perusahaan untuk wawancara dan bikin laporan dan berbagai macam dan ada 1 teman saya bisa di bilang dia juara 1 dari belakang dan gak naik kelas dan sekolah kita di paksa terus menerus untuk bisa melakukan presentasi dengan ada kurikulum merdeka ini mungkin kah adaptasi sistem di sekolah saya yang mungkin lebih baik atau di modifikasi btw saya masih SMK kelas 3 sangat menarik untuk di bahas juga terkadang saya melihat pendidikan di Indonesia agak gimana gitu emang saya bukan orang yang bisa di bilang pintar tapi saya juga gak mau kalah sama teman yang jauh lebih pintar bagi saya mungkin boleh di balas pesan ini?,2024-12-05T16:23:42Z
@SuryaSablon,"wkwk, masi untung gw bang ngerasain pendidikan yg keras tidak loyo kaya skrg, masa baca aja ga bisa anak2 skrg miris. tapi faktanya memang begitu mau di bilang apa",2024-12-05T15:46:14Z
@tridianguitar3869,Depan rumah gw anak smk pelayaran hitung2an ndak bisa..,2024-12-05T13:19:44Z
@cenyoctaviani9724,Tapi memang semenjak kemendikbud dipegang sama NM malah semakin amburadul kurikulumnya bener2 tambah g karuan....niatnya baik tp syg dy tdk pernah menyadari kalo org Indonesia belum mampu untuk mengadopsi sistem itu....<br>Pd jaman covid aja kalo dy tdk didesak gmna cara org2 yg msh sekolah atau kuliah tetap belajar jg dy g ngeluarin peraturan...tp itupun tdk maksimal tdk ada aturan pasti ttg pengajaran online semestinya bagaimana jd setiap pengajaran tersebut y balik lagi ke guru maupun sekolah maunya gimana...<br>Selama 2 tahun covid kayak terbuang sia2 tanpa belajar yg benar dan sesuai...<br>Semoga aja dengan bergantinya pemimpin yg baru bisa lebih diperbaiki lagi mana yg cocok untuk anak Indonesia...dan sy pribadi lebi setuju untuk ujian nasional dikembalikan lagi...<br>Udah miris aja sih...,2024-12-05T11:58:46Z
@anggelprameswari,"Padahal di dunia kerja pasti ada persaingan alias kompetisi 😂😂  kocak emang. Anak2 disuruh mager,",2024-12-05T11:55:12Z
@Mayoverpower,Pasti yang di salahin. &quot;Gurunya ngapain aja&quot; 😊,2024-12-05T11:39:37Z
@bagaskurniawan_0870,Gw lulusan kurtilas (kurikulum 2013) aja bersyukur banget bjir<br>Dan sekarang kuliah prodi pendidikan <br>Harus menghadapi perubahan kurikulum yg tdk jelas😢,2024-12-05T09:59:02Z
@hanzmiii,indonesia emas katanya tpi isinya begitu wkwk,2024-12-05T09:03:03Z
@RafaelbudimN49,"Indonesia Cemas 2045 :,)",2024-12-05T06:36:05Z
@urangrantaudotcom,"sistem ini menguntungkan pebisnis yang mendirikan sekolah swasta, karena negri aja gitu mending swasta",2024-12-05T04:33:26Z
@huzaijack4282,"Jangan merokok, tidak bagus untuk kesihatan dan bawak pengaruh buruk pada generasi muda.",2024-12-05T04:22:13Z
@sartika7998,Terimakasih kak Ferry sudah berani speak up. 😢 Miris faktanya seperti ini sekarang,2024-12-05T02:32:20Z
@durakatsuki5409,UJIAN NASIONAL hadirkan kembali....pungsi guru kembalikan....waktunya guru di spesialkan....,2024-12-05T02:11:58Z
@HaikalAmir-e6g,Ketika pendidikan di jadikan bisnis,2024-12-04T22:28:44Z
@sitiherinajuwita7739,"Pernah denger dari seorang ibu, anaknya disekolah sehari belajar hanya 1 jam, sisanya jam kosong, sampe sore dapet cape doang katanya 😢",2024-12-04T17:10:55Z
@okatomyhanjaya3284,"Sistem pendidikan di Indonesia menghadapi tantangan besar yang terkait erat dengan pola asuh orang tua, pendidikan di lingkungan, faktor gizi, dan gaya hidup. Pola asuh yang kurang mendukung, seperti kurangnya perhatian terhadap kebutuhan emosional dan akademik anak, sering kali berimbas pada rendahnya motivasi belajar. Selain itu, anak-anak yang tumbuh dalam lingkungan yang tidak mendukung pendidikan, baik di rumah maupun di sekolah, sering kali menghadapi keterbatasan akses dan kesempatan untuk berkembang. Faktor gizi juga memegang peranan penting, karena kekurangan gizi dapat mengganggu perkembangan fisik dan kognitif anak, yang pada gilirannya memengaruhi konsentrasi dan kemampuan belajar mereka. Ditambah dengan gaya hidup yang tidak sehat, seperti kurang tidur atau pola makan yang buruk, anak-anak menjadi lebih rentan terhadap masalah kesehatan yang menghambat kinerja akademik mereka. Semua faktor ini saling terkait dan membentuk sebuah lingkaran yang mempengaruhi kualitas pendidikan yang diterima anak-anak, sehingga untuk memperbaiki sistem pendidikan, perhatian terhadap aspek-aspek ini sangatlah penting.",2024-12-04T12:33:53Z
@Ciptomangunkusumo845,"Terasa sekali bahwa Kurikulum di Indonesia tidak bisa di sama ratakan, tidak bisa diterapkan di seluruh Indonesia. Mengingat bahwa Lokasi Sekolah, Kondisi Sekolah, Fasilitas Sekolah dll tidak sama. Antara Pinggiran Kota dan Pelosok saja sudah sangat jauh berbeda.<br><br>Dalam menerapkan Kurikulum, harus pula di sertakan rasa empati. Lihat kondisi masyarakat kita, khususnya secara Geografis dan Ekonomi. Misalkan Sekolah terpencil dg masyarakat miskin harus menggunakan fasilitas modern sprt Internet dll.<br><br>Sekolah skrg sprt tidak fokus pada Mata Pelajaran. Lbh sibuk pada kegiatan2 yg diluar itu.<br>Jurusan apa, kegiatannya apa.<br>SMA, kegiatan sprt Sekolah PerHotelan dan Bisnis.<br>Tiap saat kegiatan berjualan, Pentas Seni. Latihan sampai Malam. Sementara Siswa hrs mengerjakan tugas2 lain.<br><br>Mgkn utk bersosialisasi antar Kls bagus. Tp sisi buruknya adalah, mereka tidak ada wkt bersosialisasi dg Masyarakat di Lingkungan rumahnya. Tidak punya teman di Lingkungan Rumah krn masing2 sibuk dg kegiatan Sekolah.<br><br>Padahal dulu kita Sekolah pulang jam 12 Siang. Kita msh bisa Kerja Kelompok, main, Ngaji, Belajar diRumah.<br>Tp skrg, pulang Sekolah jam 5. Jika ada latihan bisa pulang jam 8 Malam.<br><br>Pulang jam 5. Bayangkan, lelah. Paling mandi, makan. Ketiduran. Jarang ada wkt bicara dg orangtua. Tengah Malam bangun utk bljr.<br><br>Penerimaan Siswa Baru berdasarkan Zona juga tidak bagus.<br>Misalkan dalam satu wilayah yg termasuk dalam Zona, hny ada beberapa Siswa yg pintar. Otomatis, yg pintar akan terpengaruh dg yg lainnya. Yg tidak pintar atau malas. Dan tidak ada &quot;kompetisi&quot;. Krn sbnrnya &quot;Kompetisi&quot; itu perlu utk perkembangan Siswa.",2024-12-04T06:25:26Z
@trixiejanice7879,Makanya Kurikulum itu ngikutin kulture masyarakatnya aja. Gak usah aneh&quot; yang penting anaknya pinter ilmunya bertambah,2024-12-04T04:44:27Z
@ailin2722,Anjirrr bener sodara gw -+:x masa kaga bisa.... Dasar mtk yg anak SD harusnya dah bisa ini anak SMA kelas 2 kaga bisa,2024-12-04T02:38:46Z
@qtegariana,"Kebijakan mendikbud dan mentrinya:<br>1. Penghapusan sistem tidak naik kelas. Dimulai saat masa menteri M. Nuh (Presiden: Sby),<br>2. Sistem Zonasi. Ditetapkan pada masa menteri Muhajjir Efendy.<br>3. Kurikulum Merdeka, peniadaan UN dan penghapusan sistem penjurusan IPA, IPS.  Ditetapkan menteri Nadiem Makarim.",2024-12-04T02:33:32Z
@nurdiana5907,"Anak anak sekarang tahu, meskipun mereka tidak belajar, pasti sekolah akan meluluskan. Sebab sekolah yang malu kalau angka kelulusan rendah.",2024-12-04T02:05:44Z
@gundala3756,"hasil pendidikan di era mulyono sang penipu ijazah palsu ...<br>masih untung anak-anak hanya jadi bodoh ... <br><br>coba kalau mereka semuanya jadi penipu ngikutin presidennya ... pasti lebih parah lagi ...<br>10 tahun dipimpin presiden penipu ijazah palsu ... ya hasilnya hancur lebur ... <br>sekolah kacau kaya gini karena presidennya penipu ijazah palsu &amp; menteri pendidikannya  bukan orang pendidikan ...<br>DPR, Polisi, akademisi UGM ... ga ada yg berani ngusut dugaaan ijazah palsunya mulyono ...",2024-12-04T00:55:32Z
@tituswahyudana,Bos Ojol jadi mentri pendidikan ya mencentak pola pikir ojol.. anak bangsa generasi emas dirusak selama 10th.... ingat sebuah negara bsa maju karna investasi powernya yg pola pikirnya cerdas &amp; pintar.. Harusnya dihukum mati 7 turunan tuh bos ojol.. termasuk kaum dajjal dia...&amp; sayangnya lgi upload video ini kok setelah bos ojol turun &amp; tidak lgi   menjabat mentri.. knpa ya...? takut bang dulunya..wkwkwk,2024-12-03T21:37:48Z
@supriyatnomamo3729,Sekolah komedi international 😂,2024-12-03T17:45:01Z
@andiseptiawan190,"Nadiem Makarim mengadopsi sistem Finland dan yg dipakai oleh sekolah swasta Sekolah Alam yg dipelopori oleh Lendo Novo. Namun, SDM dan fasilitas yg diberikan oleh pemerintah ga siap menerima konsep yg ditawarkan oleh Nadiem. Nadiem juga lupa kalau sistem ala Finland itu ga pake administrasi yg ga masuk akal, kenapa gw ngomong gitu? Karena gw ngajar di salah satu sekolah alam yang sistemnya sesuai dengan apa yg ada dalam kurikulum merdeka sejak tahun 1998 kami pakai itu kenapa bisa lanjut sampai sekarang? Ya karena SDM mndkung dan fasilitas mendukung.",2024-12-03T10:50:33Z
@samd3731,"Lagian ngapain susah-susah sekolah tinggi jadi pegawai dengan gaji cuma 3jt, kalau bisa jadi tukang parkir tanpa pendidikan dan kerja gampang. Apalagi kalau bisa memarkirkan 100 kendaraan perhari, bisa dapat 6jt kotor.bsekolah cuma jadi ajang latiha tawuran kalau nanti perang rebutan lahan parkir. Gak bisa jadi tukang parkir bisa jadi preman atau gabung ormas biar bisa minta dana ke perusahaan dan toko-toko, gak usah kerja keras banting tulang.<br>Inilah kenyataan yg pahit di Indonesia😢😢",2024-12-03T09:14:43Z
@DanielMystrt,Otak indonesia lucu nama bilang diversity orang cina orang LGBTQ gimana? Marah2 orang bule lgbtq dateng gak lihat sendiri tot emg ini negara,2024-12-03T08:00:19Z
@nuansa_vastudio,"rencana nadiem emang mau buat populasi ojol meningkat, biar bisnisnya semakin jaya. 😂",2024-12-03T07:28:42Z
@dzhang130,"Yang lucu itu kadang orang bilang kalau anak SMA itu stress. Jadi, stress itu ada treshold nya. Bukannya diturunkan standarnya, tapi dari kecil di tingkatkan standarnya, biar mereka sampai SMA - Kuliah engga overloaded.",2024-12-03T07:14:18Z
@nuansa_vastudio,"berkat nadiem, sekarang banyak anak bawa CR, BR dll 😂",2024-12-03T07:14:13Z
@anjarkurniawan3931,"pernah antri di atm depan gue bocah, ya bisa dibilang sma mungkin kalau dilihat dari perawakannya (nggak pakai seragam). Depan Atm lama banget, tp keluar masukin card lebih dari 3 kali, lalu nanya ke gue &quot;Mas 250rb itu 0 nya berapa?&quot; ... tepok jidat.",2024-12-03T05:47:50Z
@hafizanandita7616,"saya mau cerita, saya sekarang kelas 12 sma, saya bisa lancar menghitung perkalian tapi saya baru paham konsep pembagian itu smp kelas 9 (disitu saya udah ngerasa bodoh banget) dan pas sma saya jaug lebih kaget kalo banyak temen saya yang perkalian dari 1-10 aja masih ga hafal, ga berhenti sampe disitu ketika sistem zonasi diberlakukan dan UN dihapus saya beneran sedih disitu saya ga dapet zonasi karena sekolah di bekasi belum merata, banyak sekolah bagus yg berpusat di kecamatan bekasi timur aja (padahal saya juga bekasi timur tapi ga dapet) karena maksimal zonasi di daerah saya hanya 1km kebawah, disitu saya berfikir &quot;gimana nasib yg di kabupaten ? Kalo sekolahan yg bagus cuman di daerah bekasi timur aja?&quot;  dan karena adanya sistem itu banyak sekali guru, orang tua murid yg seenaknya, orang tua murid yg pindah KK (kartu keluarga) mereka beli punya orang lain dan guru pun menawarkan harga bangku dengan angka yg make sense sampai fantastis (sekitar 5-30 juta) saya ditawarin sma negeri terbagus dibekasi diangka 20 juta tapi saya tetep berusaha mau pake cara bersih ya pake nilai tapi ternyata nilai pun masih bisa dimanipulasi sama pihak sekolah 😅, saya baru tau kalo yg nilainya sampe 97 itu bisa dipermainkan (bukan hasil murni)",2024-12-03T04:49:30Z
@jogotirto3398,"Biar saja anak sma bodoh,  krn mereka itu ortunya kaum cacat moral dan mental pemuja jokowi dan gubran.  Jelas si nabil mentri asu",2024-12-03T01:26:54Z
@abdulharis5839,"DPR kok ngomongnya marah2, kayak tdk punya keseimbangan emosi",2024-12-03T00:09:41Z
