"Link Youtube","Judul","Nama Channel","Link Channel","View","Waktu","Verifikasi 3"
"https://www.youtube.com/watch?v=1Hq5MrcXk8I&pp=ygUDaWtu","Mengintip Kantor Presiden di IKN","CNN Indonesia","https://www.youtube.com/@CNNindonesiaOfficial","89K views","2 days ago","Verified"
"https://www.youtube.com/watch?v=fXADhrYUXhg&pp=ygUDaWtu","Gelar Ratas Perdana di IKN, Jokowi: ""Soft Ngantor"", Pemanasan Kerja","KompasTV Jember","https://www.youtube.com/@kompastvjember","93K views","2 days ago","Verified"
"https://www.youtube.com/shorts/XqaUuVvV2yU","Jokowi mengaku tidak nyenyak tidur di IKN ‼️ #jokowi #iknnusantara #shortvideo","POPULER_ID","https://www.youtube.com/@populer_id7325","2.8K views","2 days ago",""
"https://www.youtube.com/watch?v=nrZ2eJib2go&pp=ygUDaWtu","Kereta Tanpa Rel di IKN Mulai Diuji Coba Pekan Depan","Kompas.com","https://www.youtube.com/@kompascom","23K views","2 days ago","Verified"
"https://www.youtube.com/watch?v=M89OODzNy10&pp=ygUDaWtu","Cerita Para Artis Menginap di IKN | AKIM tvOne","tvOneNews","https://www.youtube.com/@tvOneNews","61K views","2 days ago",""
"https://www.youtube.com/shorts/mXvBx5rCoZk","Presiden Jokowi Gelar Sejumlah Rapat Di IKN #jokowi #ikn","TVRI Nasional","https://www.youtube.com/@TVRINasional","2.3K views","2 days ago","Verified"
"https://www.youtube.com/shorts/72lTEUfUCDs","Presiden Jokowi Mulai Berkantor Di IKN Hari Ini #jokowi #ikn","TVRI Nasional","https://www.youtube.com/@TVRINasional","15K views","2 days ago","Verified"
"https://www.youtube.com/watch?v=qzXWaHY5JXQ&pp=ygUDaWtu","[FULL] MHI - SELAMAT NGANTOR DI IKN BULAN JULI PAK JOKOWI","medcom id","https://www.youtube.com/@medcomid","10K views","2 days ago",""
"https://www.youtube.com/shorts/Llo0yhy7cKw","Presiden RI Jokowi Akui Tidak Nyenyak Tidur Pertama Kali Di IKN","Tribun Sumsel Barat","https://www.youtube.com/@TribunSumselBar","878 views","2 days ago",""
"https://www.youtube.com/shorts/tcr_lpr9lLk","Jokowi Bermalam di IKN #jokowi #jokowidodo #ikn #shorts","Dinamika Kehidupan","https://www.youtube.com/@DinamikaKehidupan123","2.3K views","2 days ago",""
"https://www.youtube.com/shorts/2aQ6gc8tsmE","Selamat datang kembali di Tunas Penghijauan, Proses kirim IKN #pohonbesar #tanaman #ikn #jakarta","Tunas Penghijauan","https://www.youtube.com/@tunaspenghijauan","7.3K views","2 days ago",""
"https://www.youtube.com/watch?v=JzJz8qS420s&pp=ygUDaWtu","Jangan Keliru! Ini Beda Wujud Istana Garuda dan Istana Negara di IKN","Kompas.com","https://www.youtube.com/@kompascom","72K views","2 days ago","Verified"
"https://www.youtube.com/shorts/QOytY_BHR7s","Ibu Kota Nusantara (IKN) #ikn #iknnusantara #indonesia #ibukotaindonesia (cc: Cahaya Nusantara)","Rizu san study","https://www.youtube.com/@rizusanstudy5844","2.3K views","2 days ago",""
"https://www.youtube.com/watch?v=NSOCijkdrJo&pp=ygUDaWtu","Motoran hingga Menginap, Cerita Para Artis ke IKN Bareng Jokowi dan Iriana | Kabar Petang tvOne","tvOneNews","https://www.youtube.com/@tvOneNews","16K views","2 days ago",""
"https://www.youtube.com/shorts/M98Jxhlan50","KUNJUNGAN KERJA PRESIDEN KE IKN","TV Radio Polri","https://www.youtube.com/@TvRadioPolri","6.7K views","2 days ago",""
"https://www.youtube.com/shorts/uc_STGGt4cM","IKN Terkini #ikn #iknnusantara #ibukotaindonesia #indonesia #indonesiamaju (cc tiktok: motor keruk)","Rizu san study","https://www.youtube.com/@rizusanstudy5844","1.6K views","2 days ago",""
"https://www.youtube.com/shorts/uTEC4EKP6ac","Menginap Perdana di Istana IKN, Jokowi Tidak Nyenyak Tidur","Kompas.com","https://www.youtube.com/@kompascom","21K views","2 days ago","Verified"
"https://www.youtube.com/watch?v=7uy9DkuwInY&pp=ygUDaWtu","Kapan Sidang Kabinet Perdana di IKN Digelar? Ini Jawaban Jokowi...","Kompas.com","https://www.youtube.com/@kompascom","1.5K views","2 days ago","Verified"
"https://www.youtube.com/watch?v=1Hq5MrcXk8I&pp=ygUDaWtu","Mengintip Kantor Presiden di IKN","CNN Indonesia","https://www.youtube.com/@CNNindonesiaOfficial","89K views","2 days ago","Verified"
"https://www.youtube.com/shorts/ls9TMkLDmUA","Sholatlah sebelum diSholatkan","amin2194","https://www.youtube.com/@amorziga","3.8K views","2 days ago",""
"https://www.youtube.com/shorts/fJTXdb9lQCs","Tour IKN Presiden Jokowi Raffi Ahmad #artis #presidenjokowi #raffiahmad #raffinagita #nagitaslavina","Ulasan Info","https://www.youtube.com/@ulasaninfo","23K views","2 days ago",""
"https://www.youtube.com/watch?v=Rhu2iDpsXYc&pp=ygUDaWtu","KABAR IKN...‼️LIAT PERKEMBANGAN JEMBATAN DAN BANDARA VVIP IKN SECARA LANGSUNG KE LOKASI","Nengkuat Paser","https://www.youtube.com/@nengkuatpaser","22K views","2 days ago",""
"https://www.youtube.com/watch?v=iA_X7WItl5M&pp=ygUDaWtu","Sampai Kapan Presiden Jokowi Akan Berkantor di IKN?","Kompas.com","https://www.youtube.com/@kompascom","7.6K views","2 days ago","Verified"
"https://www.youtube.com/watch?v=IkiKxzVUAFQ&pp=ygUDaWtu","Ternyata Ada Sosok Ini Yang Membuat Pembangunan IKN Tersendat","Ganjil Misteri","https://www.youtube.com/@ganjilmisteri7633","37K views","2 days ago","Verified"
"https://www.youtube.com/shorts/sI2RygRxOWE","Momen bercanda jokowi tentang tidur di IKN #jokowi #indonesiamaju #ikn #iknnusantara #jokowidodo","Jalan Tengah","https://www.youtube.com/@madhyamapratipada","2.1K views","2 days ago",""
"https://www.youtube.com/shorts/xvvDvo7FTbk","Bpk Presiden JokowiMengajak para Influencer untuk melihat IKN #jokowidodo #ikn  #beritaterkini","Cerita Arsya","https://www.youtube.com/@CeritaArsya-90","2.8K views","2 days ago",""
"https://www.youtube.com/watch?v=usBVvc48xDo&pp=ygUDaWtu","Berkantor dan Rapat Terbatas Perdana di IKN, Presiden Minta Utamakan Partisipasi Masyarakat","KOMPASTV","https://www.youtube.com/@kompastv","3.1K views","2 days ago","Verified"
"https://www.youtube.com/watch?v=iGTUB_NLM1I&pp=ygUDaWtu","GEGER! PRABOWO 'GUSUR' GIBRAN KE IKN? PEMERINTAH MASIH TUTUPI ALASAN IKN BELUM SIAP!","Refly Harun","https://www.youtube.com/@ReflyHarunOfficial","28K views","2 days ago","Verified"
"https://www.youtube.com/shorts/hx04tzBZBWk","Istana Garuda, Nama Kantor Presiden Jokowi di IKN","Kompas.com","https://www.youtube.com/@kompascom","86K views","2 days ago","Verified"
"https://www.youtube.com/shorts/kb3cb0vNAgE","Menguak Rahasia Sunmori Pertama Jokowi di IKN","PinterPolitik TV","https://www.youtube.com/@PinterPolitik","3.1K views","2 days ago","Verified"
"https://www.youtube.com/watch?v=3QUKQF7UvjE&pp=ygUDaWtu","Nginep di Istana Garuda IKN, Jokowi: Gak Nyenyak Tidur","CNN Indonesia","https://www.youtube.com/@CNNindonesiaOfficial","19K views","2 days ago","Verified"
"https://www.youtube.com/watch?v=L5iYixHnJJs&pp=ygUDaWtu","BATAL RAPAT KABINET DI IKN, JOKOWI MALAH ""RAPAT"" DENGAN PARA ARTIS","Rocky Gerung Official","https://www.youtube.com/@RockyGerungOfficial_2024","162K views","2 days ago","Verified"
"https://www.youtube.com/watch?v=Je0j1W2ORQ4&pp=ygUDaWtu","Berkantor 3 Hari di IKN, Presiden Jokowi Tinjau Pembangunan Ibu Kota Nusantara jelang HUT RI","KompasTV Pontianak","https://www.youtube.com/@KompasTVPontianak","20K views","2 days ago","Verified"
"https://www.youtube.com/shorts/Qps8Wq9eeu8","Jokowi Tak Nyenyak Tidur di IKN: Saya Ngomong Apa Adanya","oxclbarnet","https://www.youtube.com/@oxclbarnet679","6K views","2 days ago",""
"https://www.youtube.com/shorts/St0aP6ZXlkQ","Jokowi Sebut Pak Bas Ajak Ngebut Saat Jajal Jembatan Pulau Balang IKN","Kompas.com","https://www.youtube.com/@kompascom","2.8K views","2 days ago","Verified"
"https://www.youtube.com/shorts/j42WPJokyQU","Bermalam Perdana di Istana IKN, Presiden Jokowi Akui Tidur Tak Nyenyak","Banjarmasin Post News Video","https://www.youtube.com/@banjarmasinpostnewsvideo","803 views","2 days ago",""
"https://www.youtube.com/watch?v=-64OY2sy334&pp=ygUDaWtu","Jokowi Beri Nama Istana Garuda untuk Gedung Kantor Presiden di IKN","Kompas.com","https://www.youtube.com/@kompascom","4.8K views","2 days ago","Verified"
"https://www.youtube.com/shorts/5dNR7M8uquI","JIKOWI Ajak influencer keliling IKN #jokowi #ikn #viralvideo #shorts #fyp","PARMAN","https://www.youtube.com/@parman0309","7 views","2 days ago",""
"https://www.youtube.com/shorts/-Ce23tQM4l4","Jokowi Sebut Tak Nyenyak Tidur di IKN: Saya Ngomong Apa Adanya","Okezone","https://www.youtube.com/@officialokezone","2K views","2 days ago",""
"https://www.youtube.com/shorts/fJTXdb9lQCs","Tour IKN Presiden Jokowi Raffi Ahmad #artis #presidenjokowi #raffiahmad #raffinagita #nagitaslavina","Ulasan Info","https://www.youtube.com/@ulasaninfo","23K views","2 days ago",""
"https://www.youtube.com/watch?v=Rhu2iDpsXYc&pp=ygUDaWtu","KABAR IKN...‼️LIAT PERKEMBANGAN JEMBATAN DAN BANDARA VVIP IKN SECARA LANGSUNG KE LOKASI","Nengkuat Paser","https://www.youtube.com/@nengkuatpaser","22K views","2 days ago",""
"https://www.youtube.com/watch?v=iA_X7WItl5M&pp=ygUDaWtu","Sampai Kapan Presiden Jokowi Akan Berkantor di IKN?","Kompas.com","https://www.youtube.com/@kompascom","7.6K views","2 days ago","Verified"
"https://www.youtube.com/watch?v=IkiKxzVUAFQ&pp=ygUDaWtu","Ternyata Ada Sosok Ini Yang Membuat Pembangunan IKN Tersendat","Ganjil Misteri","https://www.youtube.com/@ganjilmisteri7633","37K views","2 days ago","Verified"
"https://www.youtube.com/shorts/sI2RygRxOWE","Momen bercanda jokowi tentang tidur di IKN #jokowi #indonesiamaju #ikn #iknnusantara #jokowidodo","Jalan Tengah","https://www.youtube.com/@madhyamapratipada","2.1K views","2 days ago",""
"https://www.youtube.com/shorts/xvvDvo7FTbk","Bpk Presiden JokowiMengajak para Influencer untuk melihat IKN #jokowidodo #ikn  #beritaterkini","Cerita Arsya","https://www.youtube.com/@CeritaArsya-90","2.8K views","2 days ago",""
"https://www.youtube.com/watch?v=usBVvc48xDo&pp=ygUDaWtu","Berkantor dan Rapat Terbatas Perdana di IKN, Presiden Minta Utamakan Partisipasi Masyarakat","KOMPASTV","https://www.youtube.com/@kompastv","3.1K views","2 days ago","Verified"
"https://www.youtube.com/watch?v=iGTUB_NLM1I&pp=ygUDaWtu","GEGER! PRABOWO 'GUSUR' GIBRAN KE IKN? PEMERINTAH MASIH TUTUPI ALASAN IKN BELUM SIAP!","Refly Harun","https://www.youtube.com/@ReflyHarunOfficial","28K views","2 days ago","Verified"
"https://www.youtube.com/shorts/hx04tzBZBWk","Istana Garuda, Nama Kantor Presiden Jokowi di IKN","Kompas.com","https://www.youtube.com/@kompascom","86K views","2 days ago","Verified"
"https://www.youtube.com/shorts/kb3cb0vNAgE","Menguak Rahasia Sunmori Pertama Jokowi di IKN","PinterPolitik TV","https://www.youtube.com/@PinterPolitik","3.1K views","2 days ago","Verified"
"https://www.youtube.com/watch?v=3QUKQF7UvjE&pp=ygUDaWtu","Nginep di Istana Garuda IKN, Jokowi: Gak Nyenyak Tidur","CNN Indonesia","https://www.youtube.com/@CNNindonesiaOfficial","19K views","2 days ago","Verified"
